"","zip","donations","total","total_population","rate_per_1000"
"1","20601",6976,190404.73,25517,273.386369871066
"2","20602",6758,109716.82,26550,254.538606403013
"3","20603",12854,248108.610000001,31975,402.001563721658
"4","20604",247,8033.67,NA,NA
"5","20606",11,131.43,374,29.4117647058824
"6","20607",6889,181393.81,10843,635.340772848843
"7","20608",337,2569.72,860,391.860465116279
"8","20609",61,2290,1151,52.997393570808
"9","20610",68,1669.2,NA,NA
"10","20611",46,1206,1634,28.1517747858017
"11","20612",21,399.17,203,103.448275862069
"12","20613",6436,170352.85,14020,459.058487874465
"13","20614",21,409,NA,NA
"14","20615",25,633,421,59.3824228028503
"15","20616",1703,38740.9,6389,266.551886054156
"16","20617",274,7542.26,832,329.326923076923
"17","20618",313,6069.32,406,770.935960591133
"18","20619",2733,63659.0100000001,15052,181.570555407919
"19","20620",393,7357.65,1369,287.070854638422
"20","20621",66,967,960,68.75
"21","20622",356,8922.11,6887,51.6915928561057
"22","20623",2075,33616.96,2997,692.359025692359
"23","20624",60,795,1409,42.583392476934
"24","20625",454,9224.02,646,702.786377708978
"25","20626",240,3636.86,304,789.473684210526
"26","20627",8,40,NA,NA
"27","20628",43,12163.26,477,90.146750524109
"28","20629",37,813,383,96.6057441253264
"29","20630",371,24333.75,301,1232.55813953488
"30","20632",21,2812.5,432,48.6111111111111
"31","20634",1095,27256.0799999999,6478,169.03365236184
"32","20635",23,1176,NA,NA
"33","20636",2316,58391.37,10805,214.345210550671
"34","20637",2083,40167.07,5751,362.197878629804
"35","20638",24,729.74,NA,NA
"36","20639",3313,119571.29,15793,209.776483252074
"37","20640",1569,24599.83,10333,151.843607858318
"38","20644",33,659,NA,NA
"39","20645",199,10778.3,749,265.687583444593
"40","20646",5566,130374.95,21951,253.564757869801
"41","20647",1,39.8,NA,NA
"42","20649",6,330,NA,NA
"43","20650",3964,144375.84,14672,270.174482006543
"44","20653",3608,81705.0799999999,24274,148.636401087583
"45","20656",38,1569.76,NA,NA
"46","20657",5067,125720.03,19226,263.54936024134
"47","20658",288,10475.37,848,339.622641509434
"48","20659",2061,66697.38,23312,88.4094028826355
"49","20660",5,190,0,Inf
"50","20662",316,3207.02,2876,109.874826147427
"51","20663",6,135,NA,NA
"52","20664",225,19794.23,3462,64.9913344887348
"53","20667",37,1525.39,633,58.4518167456556
"54","20669",1,20,NA,NA
"55","20670",100,2542.67,1441,69.3962526023595
"56","20674",355,9889.67,848,418.632075471698
"57","20675",265,13192.1,2017,131.383242439266
"58","20676",4042,51759.59,3848,1050.4158004158
"59","20677",666,19220.51,2416,275.662251655629
"60","20678",2380,49224.86,12261,194.111410162303
"61","20679",1,250,NA,NA
"62","20680",87,6197.36,934,93.1477516059957
"63","20682",3,153,NA,NA
"64","20683",6,280,NA,NA
"65","20684",90,3067.24,1066,84.4277673545966
"66","20685",2422,44961.41,6942,348.890809564967
"67","20686",776,26377.35,1775,437.183098591549
"68","20687",80,2937.49,448,178.571428571429
"69","20688",3855,84676.2900000001,1749,2204.1166380789
"70","20689",201,18325.74,2081,96.5881787602114
"71","20690",697,10894.63,905,770.165745856354
"72","20691",4,84,NA,NA
"73","20692",161,5585.11,899,179.08787541713
"74","20693",226,5676.37,833,271.308523409364
"75","20694",3,28,NA,NA
"76","20695",4407,98344.9699999999,8089,544.813944863395
"77","20696",2,189.92,NA,NA
"78","20697",12,89,NA,NA
"79","20698",11,205.5,NA,NA
"80","20701",127,5610.76,92,1380.4347826087
"81","20702",2,42,NA,NA
"82","20703",225,2404.51,NA,NA
"83","20704",71,1503.76,NA,NA
"84","20705",8949,263127.969999999,27663,323.500704912699
"85","20706",12313,314519.869999999,43670,281.955575910236
"86","20707",16759,392772.429999999,32798,510.976279041405
"87","20708",7135,155413.97,27843,256.258305498689
"88","20709",69,826,NA,NA
"89","20710",645,28141.24,9553,67.5180571548205
"90","20711",1572,67949.21,7413,212.059894779442
"91","20712",4346,127500.21,9608,452.33139050791
"92","20713",38,307,NA,NA
"93","20714",2108,41288.53,4683,450.138799914585
"94","20715",17641,314771.770000002,27556,640.187255044273
"95","20716",9976,277360.82,22237,448.621666591716
"96","20717",56,1502.75,NA,NA
"97","20718",237,5407,NA,NA
"98","20719",14,385,NA,NA
"99","20720",17274,545108.189999998,22971,751.991641635105
"100","20721",27247,1016134.51,29730,916.48166834847
"101","20722",4938,57960.5500000001,5728,862.081005586592
"102","20723",12363,402577.18,35411,349.128801784756
"103","20724",6276,110552.96,17513,358.362359390167
"104","20725",122,5023.42,NA,NA
"105","20726",62,948,NA,NA
"106","20727",5,13,NA,NA
"107","20729",3,70.17,NA,NA
"108","20730",2,25,NA,NA
"109","20731",115,653,NA,NA
"110","20732",4164,104842.46,9820,424.032586558045
"111","20733",1910,50651.11,2777,687.792581922938
"112","20734",20,578,NA,NA
"113","20735",15308,316990.63,38220,400.523286237572
"114","20736",3030,72934.04,9248,327.638408304498
"115","20737",3706,102120.56,22295,166.22561112357
"116","20738",65,964,NA,NA
"117","20739",4,160,NA,NA
"118","20740",12587,317914.89,31349,401.512009952471
"119","20741",1486,40967.23,NA,NA
"120","20742",56,12867.61,6726,8.32589949449896
"121","20743",6852,165297.13,37888,180.848817567568
"122","20744",31497,615052.969999999,54925,573.454710969504
"123","20745",12754,230824.94,27790,458.942065491184
"124","20746",5612,110835.93,27041,207.536703524278
"125","20747",9223,156460.63,40484,227.818397391562
"126","20748",12089,230580.970000001,38904,310.739255603537
"127","20749",123,2894.23,NA,NA
"128","20750",732,10758.44,NA,NA
"129","20751",943,30918.43,2091,450.980392156863
"130","20752",39,1026,NA,NA
"131","20753",147,2130,NA,NA
"132","20754",1806,52836.89,7124,253.50926445817
"133","20755",718,13748.61,10873,66.0351328980042
"134","20757",115,2539.17,NA,NA
"135","20758",169,6653.17,451,374.722838137472
"136","20759",4003,216717.45,5311,753.718697043871
"137","20762",160,2821.08,3079,51.9649236765184
"138","20763",1067,16640.29,1635,652.599388379205
"139","20764",1593,58113.29,3829,416.035518412118
"140","20765",376,18800.06,407,923.832923832924
"141","20768",190,4025.74,NA,NA
"142","20769",7457,183612.53,6222,1198.48923175828
"143","20770",17073,470197.819999997,24560,695.154723127036
"144","20771",16,223,NA,NA
"145","20772",24555,701566.209999997,45321,541.801813728735
"146","20773",348,13695.67,NA,NA
"147","20774",28133,790564.260000002,47165,596.480441004983
"148","20775",333,8819.52,NA,NA
"149","20776",1344,43335.32,3271,410.883521858759
"150","20777",2707,111532.36,3687,734.201247626797
"151","20778",1436,39547.17,2079,690.716690716691
"152","20779",687,29339.6,993,691.842900302115
"153","20781",5853,231033.89,11694,500.513083632632
"154","20782",12863,595571.079999998,33398,385.142822923528
"155","20783",5720,339753.5,45302,126.263741115183
"156","20784",5749,90245.5100000001,30270,189.924017178725
"157","20785",11413,374647.24,38878,293.559339472195
"158","20786",52,2143.3,NA,NA
"159","20787",24,339,NA,NA
"160","20788",2,20,NA,NA
"161","20790",2,1760,NA,NA
"162","20791",70,2046.19,NA,NA
"163","20792",210,9272.24,NA,NA
"164","20794",2890,65081.25,17939,161.101510675065
"165","20795",77,1970,NA,NA
"166","20796",3,102,NA,NA
"167","20797",2,28,NA,NA
"168","20798",7,89,NA,NA
"169","20801",6,1104,NA,NA
"170","20802",47,1088.26,NA,NA
"171","20803",14,140,NA,NA
"172","20804",15,607,NA,NA
"173","20805",125,6799.7,NA,NA
"174","20806",24,436,NA,NA
"175","20807",7,121,NA,NA
"176","20810",19,2173,NA,NA
"177","20812",416,82029.63,309,1346.2783171521
"178","20813",8,280,NA,NA
"179","20814",54366,3840965.98000005,29021,1873.33310361462
"180","20815",77637,9090681.01999998,30664,2531.86146621445
"181","20816",35071,3206491.79,16316,2149.48516793332
"182","20817",65357,5935171.61,37315,1751.49403725044
"183","20818",3976,339569.63,1971,2017.25012683917
"184","20820",1,20,NA,NA
"185","20822",1,5,NA,NA
"186","20823",2,50,NA,NA
"187","20824",474,28802.58,NA,NA
"188","20825",553,11115.52,NA,NA
"189","20826",27,1062,NA,NA
"190","20827",182,12166.57,NA,NA
"191","20828",2,12,NA,NA
"192","20830",139,1310,NA,NA
"193","20832",15646,505974.41,26437,591.822067556833
"194","20833",4572,170021.89,7369,620.436965666983
"195","20834",29,915,NA,NA
"196","20835",41,413,NA,NA
"197","20836",32,871.25,NA,NA
"198","20837",4684,155442.25,6287,745.029425799268
"199","20838",448,18843.38,302,1483.44370860927
"200","20839",462,11704.82,97,4762.88659793814
"201","20840",21,105,NA,NA
"202","20841",4010,161266.31,11443,350.432578869178
"203","20842",978,55610.65,1676,583.532219570406
"204","20844",47,1252.5,NA,NA
"205","20845",2,100,NA,NA
"206","20847",11,529,NA,NA
"207","20848",42,757.49,NA,NA
"208","20849",375,4026.31,NA,NA
"209","20850",45289,1625183.48000002,53176,851.681209568226
"210","20851",5030,158464.17,15489,324.746594357286
"211","20852",48307,1984718.03,46178,1046.10420546581
"212","20853",19911,556389.159999997,31061,641.028943047552
"213","20854",55150,4750407.08000001,49189,1121.18563093375
"214","20855",10620,442482.67,15287,694.70792176359
"215","20856",15,782,NA,NA
"216","20858",7,92,NA,NA
"217","20859",329,43985.94,NA,NA
"218","20860",4148,138927.7,2855,1452.88966725044
"219","20861",2729,124085.49,1449,1883.36783988958
"220","20862",260,16786.32,341,762.463343108504
"221","20864",52,1064,NA,NA
"222","20865",38,1886,NA,NA
"223","20866",6180,175550.99,16365,377.635197066911
"224","20867",14,1045,NA,NA
"225","20868",451,11939.11,780,578.205128205128
"226","20869",7,305,NA,NA
