"","zip","donations","total","total_population","rate_per_1000"
"1","20601",1425,35154.4,25517,55.8451228592703
"2","20602",897,22974.04,26550,33.7853107344633
"3","20603",1449,54640.3600000001,31975,45.3166536356529
"4","20604",58,1159.21,NA,NA
"5","20606",21,293.6,374,56.1497326203209
"6","20607",578,12869.2,10843,53.3062805496634
"7","20608",26,960.7,860,30.2325581395349
"8","20609",48,2305.44,1151,41.7028670721112
"9","20610",40,2338.04,NA,NA
"10","20611",35,826.2,1634,21.4198286413709
"11","20612",146,717.07,203,719.211822660099
"12","20613",1242,21712.1499999999,14020,88.5877318116976
"13","20615",156,2400.24,421,370.546318289786
"14","20616",292,6938.14,6389,45.7035529816873
"15","20617",122,2581.13,832,146.634615384615
"16","20618",111,3086.19,406,273.399014778325
"17","20619",1321,50741.1300000001,15052,87.7624235981929
"18","20620",163,5863.94,1369,119.065010956903
"19","20621",39,1845.49,960,40.625
"20","20622",383,17405.31,6887,55.6120226513722
"21","20623",103,2147.44,2997,34.3677010343677
"22","20624",18,727.23,1409,12.7750177430802
"23","20625",26,1835.37,646,40.2476780185759
"24","20626",16,1488.6,304,52.6315789473684
"25","20627",3,520.24,NA,NA
"26","20628",88,2661.53,477,184.486373165618
"27","20630",57,8129.48,301,189.36877076412
"28","20632",74,1660.46,432,171.296296296296
"29","20634",2590,41293.0599999999,6478,399.814757641247
"30","20636",1831,39801.9999999999,10805,169.458583988894
"31","20637",1342,50569.8899999999,5751,233.350721613632
"32","20639",4060,78700.2900000003,15793,257.075919711264
"33","20640",1132,23500.45,10333,109.551921029711
"34","20645",104,2337.07,749,138.851802403204
"35","20646",5750,92164.8600000004,21951,261.947063915084
"36","20650",6687,111278.180000001,14672,455.766085059978
"37","20653",2289,45948.46,24274,94.2984262997446
"38","20656",4,4,NA,NA
"39","20657",1350,80439.9200000004,19226,70.2174139186518
"40","20658",11,1121.18,848,12.9716981132075
"41","20659",3755,91069.1900000005,23312,161.075840768703
"42","20660",2,2000,0,Inf
"43","20662",133,9742.39,2876,46.2447844228095
"44","20664",281,8245.47,3462,81.1669555170422
"45","20667",30,1417.13,633,47.3933649289099
"46","20670",19,705.89,1441,13.1852879944483
"47","20674",209,9114.10000000001,848,246.462264150943
"48","20675",131,4188.69,2017,64.9479424888448
"49","20676",691,23146.86,3848,179.573804573805
"50","20677",10510,52261.3000000004,2416,4350.16556291391
"51","20678",2547,50940.5,12261,207.731832640078
"52","20680",44,1978.8,934,47.1092077087794
"53","20684",75,3987.88,1066,70.3564727954972
"54","20685",1045,30678.4899999999,6942,150.532987611639
"55","20686",5,389.33,1775,2.8169014084507
"56","20687",7,244.3,448,15.625
"57","20688",2245,37209.4799999999,1749,1283.59062321326
"58","20689",49,2773.01,2081,23.546371936569
"59","20690",735,14588.27,905,812.154696132597
"60","20692",20,1091.63,899,22.2469410456062
"61","20693",52,1714.54,833,62.4249699879952
"62","20695",426,14520.07,8089,52.6641117567066
"63","20701",15,1439.86,92,163.04347826087
"64","20703",36,1705.44,NA,NA
"65","20705",805,22559.74,27663,29.1002422007736
"66","20706",1107,29126.8400000001,43670,25.3492099839707
"67","20707",1548,34556.4499999999,32798,47.1979998780413
"68","20708",789,54085.47,27843,28.3374636353841
"69","20709",7,876.03,NA,NA
"70","20710",72,2001.27,9553,7.5368994033288
"71","20711",727,37307.3,7413,98.070956427897
"72","20712",173,4516.9,9608,18.0058284762698
"73","20714",382,12063.77,4683,81.5716421097587
"74","20715",4184,142469.330000001,27556,151.836260705472
"75","20716",1680,27480.63,22237,75.5497594099923
"76","20717",1,26.03,NA,NA
"77","20718",1,24.98,NA,NA
"78","20720",1111,34529.48,22971,48.3653301989465
"79","20721",535,14887.37,29730,17.9952909519004
"80","20722",233,3351.64,5728,40.677374301676
"81","20723",1100,43215.25,35411,31.0637937364096
"82","20724",696,11786.81,17513,39.7419060126763
"83","20725",12333,55055.4100000002,NA,NA
"84","20726",8,423.17,NA,NA
"85","20732",1193,30932.3399999999,9820,121.486761710794
"86","20733",781,35883.32,2777,281.238746849118
"87","20735",1180,22491.1399999999,38220,30.8738880167452
"88","20736",765,36527.3399999999,9248,82.7205882352941
"89","20737",225,5443.21,22295,10.0919488674591
